Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,x,y
Voortman Farm,28.62,PAD980692719,301453,3,Pennsylvania,Upper Saucon Township,Lehigh,Deleted NPL Site,40.547,-75.4475,12/30/1982,9/8/1983,3/9/1989,35,3/24/1989,5/31/1989,"<a href=""https://semspub.epa.gov/src/document/03/900318"" target=""_blank"">PAD980692719 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301453"" target=""_blank"">Voortman Farm</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900059"" target=""_blank"">03/24/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900402"" target=""_blank"">05/31/1989 (PDF)</a>",,No,-8398777.282,4945752.144
Wade (ABM),36.63,PAD980539407,301343,3,Pennsylvania,Chester,Delaware,Deleted NPL Site,39.8337,-75.3775,12/30/1982,9/8/1983,6/29/1988,29,12/2/1988,3/23/1989,"<a href=""https://semspub.epa.gov/src/document/03/900319"" target=""_blank"">PAD980539407 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301343"" target=""_blank"">Wade (ABM)</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900058"" target=""_blank"">12/02/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900401"" target=""_blank"">03/23/1989 (PDF)</a>",,No,-8390984.917,4841805.363
Westline Site,31.71,PAD980692537,301444,3,Pennsylvania,Westline,McKean,Deleted NPL Site,41.774719,-78.771669,12/30/1982,9/8/1983,2/22/1991,52,12/17/1991,10/14/1992,"<a href=""https://semspub.epa.gov/src/document/03/900320"" target=""_blank"">PAD980692537 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301444"" target=""_blank"">Westline Site</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900062"" target=""_blank"">12/17/1991 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189625"" target=""_blank"">10/14/1992 (PDF)</a>",,No,-8768822.082,5127292.951
Berks Sand Pit,32.02,PAD980691794,301434,3,Pennsylvania,Longswamp Township,Berks,NPL Site,40.4646,-75.6273,9/8/1983,9/21/1984,6/28/1994,239,,,"<a href=""https://semspub.epa.gov/src/document/03/900321"" target=""_blank"">PAD980691794 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301434"" target=""_blank"">Berks Sand Pit</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,-8418792.526,4933688.166
Dorney Road Landfill,46.1,PAD980508832,301228,3,Pennsylvania,Upper Macungie Township,Lehigh,Deleted NPL Site,40.527781,-75.654169,9/8/1983,9/21/1984,9/28/1999,653,7/17/2018,9/24/2018,"<a href=""https://semspub.epa.gov/src/document/03/900322"" target=""_blank"">PAD980508832 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301228"" target=""_blank"">Dorney Road Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-07-17/pdf/2018-15245.pdf"" target=""_blank"">07/17/2018 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-09-24/pdf/2018-20745.pdf"" target=""_blank"">09/24/2018 (PDF)</a>",,No,-8421783.569,4942937.013
East Mount Zion,41.01,PAD980690549,301426,3,Pennsylvania,Springettsbury Township,York,NPL Site,40.0075,-76.665281,9/8/1983,9/21/1984,2/4/1999,589,,,"<a href=""https://semspub.epa.gov/src/document/03/900323"" target=""_blank"">PAD980690549 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301426"" target=""_blank"">East Mount Zion</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,-8534340.042,4867032.219
Henderson Road,41.69,PAD009862939,300847,3,Pennsylvania,Upper Merion Township,Montgomery,NPL Site,40.086939,-75.35555,9/8/1983,9/21/1984,10/28/1992,150,,,"<a href=""https://semspub.epa.gov/src/document/03/900324"" target=""_blank"">PAD009862939 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300847"" target=""_blank"">Henderson Road</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,-8388541.454,4878584.073
Walsh Landfill,33.64,PAD980829527,301570,3,Pennsylvania,Honeybrook Township,Chester,NPL Site,40.119719,-75.915281,9/8/1983,9/21/1984,8/16/2006,977,,,"<a href=""https://semspub.epa.gov/src/document/03/900325"" target=""_blank"">PAD980829527 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301570"" target=""_blank"">Walsh Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,-8450850.424,4883354.8
Raymark,53.42,PAD039017694,300894,3,Pennsylvania,Hatboro,Montgomery,NPL Site,40.179719,-75.098611,6/24/1988,10/4/1989,9/14/1995,323,,,"<a href=""https://semspub.epa.gov/src/document/03/900326"" target=""_blank"">PAD039017694 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300894"" target=""_blank"">Raymark</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,-8359939.136,4892093.027
Industrial Lane,42.47,PAD980508493,301211,3,Pennsylvania,Williams Township,Northampton,NPL Site,40.665831,-75.228611,9/8/1983,9/21/1984,6/29/1999,605,,,"<a href=""https://semspub.epa.gov/src/document/03/900327"" target=""_blank"">PAD980508493 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301211"" target=""_blank"">Industrial Lane</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,-8374410.67,4963176.064
Tysons Dump,63.1,PAD980692024,301436,3,Pennsylvania,Upper Merion Township,Montgomery,NPL Site,40.111389,-75.362781,9/8/1983,9/21/1984,12/22/1997,505,,,"<a href=""https://semspub.epa.gov/src/document/03/900328"" target=""_blank"">PAD980692024 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301436"" target=""_blank"">Tysons Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,-8389346.406,4882142.253
Letterkenny Army Depot (SE Area),34.21,PA6213820503,302467,3,Pennsylvania,Chambersburg,Franklin,NPL Site,39.9957,-77.6444,10/15/1984,7/22/1987,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900329"" target=""_blank"">PA6213820503 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0302467"" target=""_blank"">Letterkenny Army Depot (SE Area)</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",-8643335.071,4865317.435
Modern Sanitation Landfill,33.93,PAD980539068,301322,3,Pennsylvania,Lower Windsor Township,York,NPL Site,39.960561,-76.5925,10/15/1984,6/10/1986,10/20/2000,758,,,"<a href=""https://semspub.epa.gov/src/document/03/900330"" target=""_blank"">PAD980539068 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301322"" target=""_blank"">Modern Sanitation Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8526238.099,4860212.766
MW Manufacturing,46.44,PAD980691372,301428,3,Pennsylvania,Valley Township,Montour,NPL Site,40.99,-76.641669,10/15/1984,6/10/1986,9/28/2005,958,,,"<a href=""https://semspub.epa.gov/src/document/03/900331"" target=""_blank"">PAD980691372 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301428"" target=""_blank"">MW Manufacturing</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8531711.567,5010866.778
Brown's Battery Breaking,37.34,PAD980831812,301625,3,Pennsylvania,Shoemakersville,Berks,NPL Site,40.519439,-76.001389,10/15/1984,6/10/1986,11/3/2003,889,,,"<a href=""https://semspub.epa.gov/src/document/03/900332"" target=""_blank"">PAD980831812 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301625"" target=""_blank"">Brown's Battery Breaking</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8460435.923,4941715.357
Ambler Asbestos Piles,34.47,PAD000436436,300445,3,Pennsylvania,Ambler,Montgomery,Deleted NPL Site,40.149719,-75.227219,10/15/1984,6/10/1986,8/30/1993,180,9/5/1996,12/27/1996,"<a href=""https://semspub.epa.gov/src/document/03/900333"" target=""_blank"">PAD000436436 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300445"" target=""_blank"">Ambler Asbestos Piles</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-09-05/pdf/96-22378.pdf"" target=""_blank"">09/05/1996 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-12-27/pdf/96-32660.pdf"" target=""_blank"">12/27/1996 (PDF)</a>",,No,-8374255.713,4887722.949
Hunterstown Road,48.27,PAD980830897,301595,3,Pennsylvania,Straban Township,Adams,NPL Site,39.85305,-77.206111,10/15/1984,6/10/1986,9/30/2003,885,,,"<a href=""https://semspub.epa.gov/src/document/03/900334"" target=""_blank"">PAD980830897 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301595"" target=""_blank"">Hunterstown Road</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8594544.963,4844610.828
Middletown Air Field,35.69,PAD980538763,301295,3,Pennsylvania,Middletown,Dauphin,Deleted NPL Site,40.1763,-76.7173,10/15/1984,6/10/1986,9/18/1996,397,5/23/1997,7/10/1997,"<a href=""https://semspub.epa.gov/src/document/03/900335"" target=""_blank"">PAD980538763 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301295"" target=""_blank"">Middletown Air Field</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-05-23/pdf/97-13481.pdf"" target=""_blank"">05/23/1997 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-07-10/pdf/97-17955.pdf"" target=""_blank"">07/10/1997 (PDF)</a>",,No,-8540130.771,4891594.886
Westinghouse Elevator Co. Plant,36.37,PAD043882281,300932,3,Pennsylvania,Cumberland Township,Adams,NPL Site,39.857219,-77.24,10/15/1984,6/10/1986,9/22/1998,544,,,"<a href=""https://semspub.epa.gov/src/document/03/900336"" target=""_blank"">PAD043882281 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300932"" target=""_blank"">Westinghouse Elevator Co. Plant</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8598317.469,4845215.375
Whitmoyer Laboratories,46.25,PAD003005014,300643,3,Pennsylvania,Jackson Township,Lebanon,NPL Site,40.364719,-76.325,10/15/1984,6/10/1986,6/6/2002,814,,,"<a href=""https://semspub.epa.gov/src/document/03/900337"" target=""_blank"">PAD003005014 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300643"" target=""_blank"">Whitmoyer Laboratories</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8496460.135,4919084.662
"Delta Quarries & Disposal, Inc./Stotler Landfill",41.08,PAD981038052,301982,3,Pennsylvania,"Antis Township, Logan Township",Blair,NPL Site,40.553611,-78.35445,6/10/1986,3/31/1989,12/5/1996,418,,,"<a href=""https://semspub.epa.gov/src/document/03/900338"" target=""_blank"">PAD981038052 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301982"" target=""_blank"">Delta Quarries & Disposal, Inc./Stotler Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189644"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,-8722377.475,4946720.687
Shriver's Corner,46.13,PAD980830889,301594,3,Pennsylvania,Straban Township,Adams,NPL Site,39.8999,-77.2055,10/15/1984,6/10/1986,1/7/2003,848,,,"<a href=""https://semspub.epa.gov/src/document/03/900339"" target=""_blank"">PAD980830889 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301594"" target=""_blank"">Shriver's Corner</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8594476.946,4851406.665
York County Solid Waste and Refuse Authority Landfill,44.26,PAD980830715,301590,3,Pennsylvania,Hopewell Township,York,Deleted NPL Site,39.782361,-76.607219,4/10/1985,7/22/1987,9/29/1995,339,12/14/2004,2/14/2005,"<a href=""https://semspub.epa.gov/src/document/03/900340"" target=""_blank"">PAD980830715 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301590"" target=""_blank"">York County Solid Waste and Refuse Authority Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2004-12-14/pdf/04-27169.pdf"" target=""_blank"">12/14/2004 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2004-12-14/pdf/04-27168.pdf"" target=""_blank"">02/14/2005 (PDF)</a>",,No,-8527876.61,4834365.793
Reeser's Landfill,30.35,PAD980829261,301566,3,Pennsylvania,Upper Macungie Township,Lehigh,Deleted NPL Site,40.5794,-75.6564,4/10/1985,7/22/1987,2/5/1990,42,3/2/1990,5/31/1990,"<a href=""https://semspub.epa.gov/src/document/03/900342"" target=""_blank"">PAD980829261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301566"" target=""_blank"">Reeser's Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900060"" target=""_blank"">03/02/1990 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900403"" target=""_blank"">05/31/1990 (PDF)</a>",,No,-8422031.923,4950499.812
Keystone Sanitation Landfill,33.76,PAD054142781,300995,3,Pennsylvania,Union Township,Adams,NPL Site,39.72445,-77.036111,4/10/1985,7/22/1987,9/13/2004,907,,,"<a href=""https://semspub.epa.gov/src/document/03/900343"" target=""_blank"">PAD054142781 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300995"" target=""_blank"">Keystone Sanitation Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-8575620.649,4825980.528
Lansdowne Radiation Site,0,PAD980830921,301596,3,Pennsylvania,Lansdowne,Delaware,Deleted NPL Site,39.9413,-75.2671,4/10/1985,9/16/1985,2/28/1991,53,3/18/1991,9/10/1991,"<a href=""https://semspub.epa.gov/src/document/03/900344"" target=""_blank"">PAD980830921 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301596"" target=""_blank"">Lansdowne Radiation Site</a>","<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900404"" target=""_blank"">09/16/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900061"" target=""_blank"">03/18/1991 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189624"" target=""_blank"">09/10/1991 (PDF)</a>",,No,-8378695.245,4857415.818
Route 940 Drum Dump,44.06,PAD981034630,301831,3,Pennsylvania,Pocono Summit,Monroe,Deleted NPL Site,41.1105,-75.3825,9/18/1985,7/22/1987,9/28/1992,135,8/14/2000,11/30/2000,"<a href=""https://semspub.epa.gov/src/document/03/900345"" target=""_blank"">PAD981034630 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301831"" target=""_blank"">Route 940 Drum Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-08-14/pdf/00-20426.pdf"" target=""_blank"">08/14/2000 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-11-30/pdf/00-30181.pdf"" target=""_blank"">11/30/2000 (PDF)</a>",,No,-8391541.515,5028654.076
Croydon TCE,31.6,PAD981035009,301849,3,Pennsylvania,Croydon,Bucks,NPL Site,40.084934,-74.8892,9/18/1985,6/10/1986,3/31/1997,424,,,"<a href=""https://semspub.epa.gov/src/document/03/900346"" target=""_blank"">PAD981035009 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301849"" target=""_blank"">Croydon TCE</a>","<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8336627.61,4878292.344
Revere Chemical Co.,31.31,PAD051395499,300982,3,Pennsylvania,Nockamixon Township,Bucks,NPL Site,40.502781,-75.168889,9/18/1985,7/22/1987,11/2/1998,600,,,"<a href=""https://semspub.epa.gov/src/document/03/900347"" target=""_blank"">PAD051395499 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300982"" target=""_blank"">Revere Chemical Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-8367762.447,4939276.308
Bendix Flight Systems Division,33.74,PAD003047974,300694,3,Pennsylvania,Bridgewater Township,Susquehanna,NPL Site,41.797361,-75.88625,9/18/1985,7/22/1987,9/30/1996,396,,,"<a href=""https://semspub.epa.gov/src/document/03/900348"" target=""_blank"">PAD003047974 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300694"" target=""_blank"">Bendix Flight Systems Division</a>","<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-8447618.708,5130673.271
C & D Recycling,43.92,PAD021449244,300881,3,Pennsylvania,Foster Township,Luzerne,Deleted NPL Site,41.031389,-75.841669,9/18/1985,7/22/1987,9/30/1999,668,12/26/2017,2/26/2018,"<a href=""https://semspub.epa.gov/src/document/03/900349"" target=""_blank"">PAD021449244 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300881"" target=""_blank"">C & D Recycling</a>","<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2017-12-26/pdf/2017-27802.pdf"" target=""_blank"">12/26/2017 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2017-12-26/pdf/2017-27801.pdf"" target=""_blank"">02/26/2018 (PDF)</a>",,No,-8442655.974,5016972.637
